ATCF_ID,name,basedamage,ATD,ND,lf_ISO_TIME,lf_wind,lf_pressure,lf_state,WPC,population,lf_lat,lf_lon,Tide_Level
AL011900,Galveston,30000000,2826.090655511229,171510000000,1900-09-09 02:30:00,120,936.0,TX,886.6529425665153,119724,29.171100000000003,-95.20179999999999,7.703109557976869
AL041901,Storm 4 in 1901,1000000,28.612072653716965,830000000,1901-08-14 20:30:00,75,973.0,LA,941.5700460726042,371192,29.266666666666666,-89.63333333333333,-3.7219029915197877
AL031903,Storm 3 in 1903,670000,1394.1937382181525,7410000000,1903-09-11 23:00:00,75,976.0,FL,1054.9052024336913,4556,26.1,-80.1,-28.694650599258697
AL031903,Storm 3 in 1903,0,0.0,0,1903-09-13 21:00:00,80,988.0,FL,1054.9052024336913,25018,29.7989,-85.4572,-11.237284336792932
AL021904,Storm 2 in 1904,1000000,62.6981619526595,640000000,1904-09-14 13:30:00,70,,SC,1025.2460315789378,155567,33.2666,-79.275275,25.66465041286383
AL061906,Storm 6 in 1906,4000000,298.2623372670526,2970000000,1906-09-27 12:00:00,95,958.0,MS,1191.4689132099377,112559,30.4,-88.7,23.224142170314924
AL081906,Storm 8 in 1906,200000,184.61067540137796,2140000000,1906-10-18 11:30:00,105,953.0,FL,1191.4689132099377,9093,25.15,-80.8,-2.1158781484792124
AL041909,Valasco,2000000,194.60548459859612,2210000000,1909-07-21 17:00:00,100,960.0833333333334,TX,1168.3371450947238,87964,28.9,-95.3,10.638132329242241
AL091909,Grand Isle,5000000,297.83653900710067,1400000000,1909-09-21 00:00:00,100,952.0,LA,1168.3371450947238,143689,29.5,-91.3,-14.358553922532208
AL111909,Storm 10 in 1909,1000000,833.206886224298,8980000000,1909-10-11 20:00:00,100,957.0,FL,1168.3371450947238,10273,25.107933333333335,-80.3044,-11.721781631001384
AL051910,Storm 5 in 1910,500000,335.5484491902991,5150000000,1910-10-18 06:00:00,100,955.0,FL,1186.5024934051332,12559,26.5,-82.0,33.47555077951721
AL031911,Storm 3 in 1911,1000000,45.66036528226898,420000000,1911-08-28 10:00:00,85,972.0,SC,1200.2542793401863,182468,32.2,-80.7,-104.59599096473163
AL041913,Storm 4 in 1913,3000000,216.9694403043206,1930000000,1913-09-03 09:00:00,75,976.0,NC,1320.5572663335856,104705,34.7499,-76.7447,-78.34287225978677
AL021915,Galveston,50000000,2215.050839550926,121200000000,1915-08-17 07:00:00,115,940.0,TX,1261.784595225527,178896,29.2,-95.1,-22.87579917843218
AL061915,New Orleans,13000000,327.8183817394035,2980000000,1915-09-29 19:30:00,112,945.0,LA,1261.784595225527,314286,29.27495,-90.3015,-25.473775370205868
AL021916,Storm 2 in 1916,3000000,136.4392902750071,1800000000,1916-07-05 21:00:00,105,950.0,AL,1596.9900273725216,137683,30.4,-88.4,3.641560778969911
AL061916,Storm 6 in 1916,1800000,379.66931501666306,2460000000,1916-08-18 22:30:00,115,934.0,TX,1596.9900273725216,29687,27.05,-97.5,-4.972760604026282
AL011918,Storm 1 in 1918,5000000,326.9563049608164,420000000,1918-08-06 18:00:00,105,955.0,LA,2379.4074559463406,64270,29.8,-93.2,19.126750461498265
AL021919,Storm 2 in 1919,2000000,157.98252371342218,600000000,1919-09-09 17:30:00,127,927.0,FL,2445.8116089615305,51760,24.08915,-81.23333333333333,-13.86868529026634
AL021919,Storm 2 in 1919,20000000,2386.6404269939435,18460000000,1919-09-14 22:00:00,100,950.0,TX,2445.8116089615305,34263,27.266666666666666,-97.53333333333333,-1.846044343783002
AL021920,Storm 2 in 1920,1450000,50.03750064780659,1020000000,1920-09-22 01:30:00,85,976.0,LA,2723.63836530902,106395,29.225675000000003,-90.868975,-6.350502421583336
AL061921,Tampa Bay,3000000,82.19725461256132,5660000000,1921-10-25 20:00:00,100,958.0,FL,2224.5391201393195,164068,28.1,-82.8,-23.73099801974153
AL011926,Storm 1 in 1926,3051000,153.34983897481666,7190000000,1926-07-28 06:30:00,90,967.0,FL,2616.7619274768517,76032,28.564316666666667,-80.53265,-14.287873825858188
AL031926,Storm 3 in 1926,7000000,257.3448593403224,1750000000,1926-08-25 22:30:00,100,955.0,LA,2616.7619274768517,103949,29.136725,-90.89240000000001,4.4791923722451035
AL071926,Great Miami,76000000,3931.3672757291924,242750000000,1926-09-18 12:00:00,125,930.0,FL,2616.7619274768517,73876,25.6,-80.3,12.218222029495907
AL071926,Great Miami,29000000,622.7956482928042,13200000000,1926-09-20 21:00:00,100,954.9038461538462,AL,2616.7619274768517,177946,30.3035,-87.4335,-14.150724235945937
AL041928,Lake Okeechobee,25000000,1799.1048045305665,63830000000,1928-09-17 00:00:00,127,929.0,FL,2717.6393464388543,51132,26.7,-80.0,8.431934470290908
AL011929,Storm 1 in 1929,675000,44.3500487706007,110000000,1929-06-28 21:30:00,80,982.5,TX,2716.6510773068158,56024,28.383333333333333,-96.51666666666667,11.302093229876553
AL021929,Storm 2 in 1929,100000,2.980002535237709,170000000,1929-09-28 15:30:00,100,949.0714285714286,FL,2716.6510773068158,123523,25.09166666666667,-80.74708333333334,-2.024621045037231
AL021929,Storm 2 in 1929,200000,13.97390053109235,220000000,1929-10-01 03:30:00,70,974.7857142857143,FL,2716.6510773068158,52684,30.157899999999998,-85.75475,-4.098778169209101
AL021932,Freeport,7500000,216.72443276715646,12650000000,1932-08-14 04:00:00,130,935.0,TX,2012.821231062274,171929,29.0,-95.2,-26.57429477952822
AL061933,Storm 8 in 1933,27000000,1109.9609360963527,7410000000,1933-08-23 11:00:00,81,964.5,NC,2116.317925053704,114941,35.95,-75.69999999999999,4.023446186475298
AL111933,Storm 12 in 1933,1000000,57.33778862426957,2720000000,1933-09-04 05:00:00,110,948.0,FL,2116.317925053704,82410,26.9,-80.1,-35.26124638897179
