ATCF_ID,name,basedamage,ATD,ND,lf_ISO_TIME,lf_wind,lf_pressure,lf_state,WPC,population,lf_lat,lf_lon,Tide_Level,travel_speed_before_landfall_m_s,travel_speed_after_landfall_m_s,travel_speed_at_landfall_m_s,STORM_SPEED,DIST2LAND,STORM_DIR,r34_ne_at_landfall,r34_se_at_landfall,r34_sw_at_landfall,r34_nw_at_landfall,r34_area_at_landfall,r34_mean_at_landfall,r50_ne_at_landfall,r50_se_at_landfall,r50_sw_at_landfall,r50_nw_at_landfall,r50_area_at_landfall,r50_mean_at_landfall,r64_ne_at_landfall,r64_se_at_landfall,r64_sw_at_landfall,r64_nw_at_landfall,r64_area_at_landfall,r64_mean_at_landfall
AL011900,Galveston,30000000,2826.090655511229,171510000000,1900-09-09 02:30:00,120,936.0,TX,886.6529425665153,119724,29.171100000000003,-95.2018,7.703109557976869,7.032520560925631,5.596771370333162,6.220771961127894,13,9,305, , , , ,,, , , , ,,, , , , ,,
AL041901,Storm 4 in 1901,1000000,28.612072653716965,830000000,1901-08-14 20:30:00,75,973.0,LA,941.5700460726042,371192,29.266666666666666,-89.63333333333333,-3.721902991519788,2.730837394321809,2.7297076906786226,2.730648769401094,4,0,40, , , , ,,, , , , ,,, , , , ,,
AL031903,Storm 3 in 1903,670000,1394.1937382181525,7410000000,1903-09-11 23:00:00,75,976.0,FL,1054.905202433691,4556,26.1,-80.1,-28.694650599258697,4.4446538906570385,6.350527675744819,5.065251119900911,11,0,300, , , , ,,, , , , ,,, , , , ,,
AL031903,Storm 3 in 1903,0,0.0,0,1903-09-13 21:00:00,80,988.0,FL,1054.905202433691,25018,29.7989,-85.4572,-11.237284336792932,3.376012079962244,5.0155682503756704,4.03101738266975,11,0,335, , , , ,,, , , , ,,, , , , ,,
AL021904,Storm 2 in 1904,1000000,62.6981619526595,640000000,1904-09-14 13:30:00,70,,SC,1025.2460315789378,155567,33.2666,-79.275275,25.66465041286345,10.981040755641928,11.617773539851528,11.457920374087706,23,11,340, , , , ,,, , , , ,,, , , , ,,
AL061906,Storm 6 in 1906,4000000,298.2623372670526,2970000000,1906-09-27 12:00:00,95,958.0,MS,1191.4689132099377,112559,30.4,-88.7,23.224142170314924,6.713433413754098,5.430830883102897,5.7478918407059245,12,14,340, , , , ,,, , , , ,,, , , , ,,
AL081906,Storm 8 in 1906,200000,184.610675401378,2140000000,1906-10-18 11:30:00,105,953.0,FL,1191.4689132099377,9093,25.15,-80.8,-2.1158781484792124,10.802885637435105,10.796128261908457,10.801189576538617,19,0,35, , , , ,,, , , , ,,, , , , ,,
AL041909,Valasco,2000000,194.6054845985961,2210000000,1909-07-21 17:00:00,100,960.0833333333334,TX,1168.3371450947238,87964,28.9,-95.3,10.63813232924224,4.347451240274267,6.229797748578764,4.9599814742735004,10,0,295, , , , ,,, , , , ,,, , , , ,,
AL091909,Grand Isle,5000000,297.83653900710067,1400000000,1909-09-21 00:00:00,100,952.0,LA,1168.3371450947238,143689,29.5,-91.3,-14.358553922532208,10.61347762222184,9.61894600071694,10.115597094574786,19,67,345, , , , ,,, , , , ,,, , , , ,,
AL111909,Storm 10 in 1909,1000000,833.206886224298,8980000000,1909-10-11 20:00:00,100,957.0,FL,1168.3371450947238,10273,25.10793333333333,-80.3044,-11.721781631001384,11.60406520385868,10.370597692799326,11.191127382319822,23,37,55, , , , ,,, , , , ,,, , , , ,,
AL051910,Storm 5 in 1910,500000,335.5484491902991,5150000000,1910-10-18 06:00:00,100,955.0,FL,1186.5024934051332,12559,26.5,-82.0,33.47555077951721,5.21199801359105,5.211644300546339,5.211819601306749,10,31,10, , , , ,,, , , , ,,, , , , ,,
AL031911,Storm 3 in 1911,1000000,45.66036528226898,420000000,1911-08-28 10:00:00,85,972.0,SC,1200.2542793401865,182468,32.2,-80.7,-104.59599096473164,2.619095775041134,3.9286425298224383,3.4921258121536933,5,9,285, , , , ,,, , , , ,,, , , , ,,
AL041913,Storm 4 in 1913,3000000,216.9694403043206,1930000000,1913-09-03 09:00:00,75,976.0,NC,1320.5572663335856,104705,34.7499,-76.7447,-78.34287225978436,3.9897399292294433,4.153423580715606,4.112445077671352,8,0,290, , , , ,,, , , , ,,, , , , ,,
AL021915,Galveston,50000000,2215.050839550926,121200000000,1915-08-17 07:00:00,115,940.0,TX,1261.784595225527,178896,29.2,-95.1,-22.87579917843218,9.624424996698465,6.140136269083899,7.133785090746324,16,22,325, , , , ,,, , , , ,,, , , , ,,
AL061915,New Orleans,13000000,327.8183817394035,2980000000,1915-09-29 19:30:00,112,945.0,LA,1261.784595225527,314286,29.27495,-90.3015,-25.473775370205868,5.64356813789721,4.619529412781659,5.131477059423477,11,14,350, , , , ,,, , , , ,,, , , , ,,
AL021916,Storm 2 in 1916,3000000,136.4392902750071,1800000000,1916-07-05 21:00:00,105,950.0,AL,1596.9900273725216,137683,30.4,-88.4,3.641560778969911,6.250675799443927,4.473628028852539,5.335588359461913,12,33,335, , , , ,,, , , , ,,, , , , ,,
AL061916,Storm 6 in 1916,1800000,379.6693150166631,2460000000,1916-08-18 22:30:00,115,934.0,TX,1596.9900273725216,29687,27.05,-97.5,-4.972760604026282,6.313944473063266,6.309693302708815,6.310753791342593,13,9,300, , , , ,,, , , , ,,, , , , ,,
AL011918,Storm 1 in 1918,5000000,326.9563049608164,420000000,1918-08-06 18:00:00,105,955.0,LA,2379.4074559463406,64270,29.8,-93.2,19.126750461498265,7.12871065251086,7.118454336786108,7.123549338256447,15,48,330, , , , ,,, , , , ,,, , , , ,,
AL021919,Storm 2 in 1919,2000000,157.98252371342218,600000000,1919-09-09 17:30:00,127,927.0,FL,2445.8116089615305,51760,24.08915,-81.23333333333333,-13.86868529026634,3.9237884155181915,3.8245487686066237,3.904225020613123,8,111,280, , , , ,,, , , , ,,, , , , ,,
