ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES,USA_ATCF_ID,USA_LAT,USA_LON,USA_WIND,USA_PRES,USA_R50_NE,USA_R50_SE,USA_R50_SW,USA_R50_NW,USA_R64_NE,USA_R64_SE,USA_R64_SW,USA_R64_NW,STORM_SPEED
2004-03-18 12:00:00,-13.1,126.4,70,968,SH182004,-13.1,126.3,70,972,40,40,40,40,10,10,10,10,4
2004-03-18 15:00:00,-13.1,126.2,70,966,SH182004,-13.1,126.1,73,970,40,40,40,40,10,10,10,10,5
2004-03-18 18:00:00,-13.0,126.0,70,964,SH182004,-13.0,125.9,75,967,40,40,40,40,10,10,10,10,4
2004-03-18 21:00:00,-12.8,125.8,70,962,SH182004,-12.8,125.8,75,967,40,40,40,40,10,10,10,10,4
2004-03-19 00:00:00,-12.7,125.7,70,960,SH182004,-12.7,125.8,75,967,40,40,40,40,10,10,10,10,3
2004-03-19 03:00:00,-12.7,125.6,70,958,SH182004,-12.7,125.7,78,965,40,40,40,40,10,10,10,10,2
2004-03-19 06:00:00,-12.8,125.5,80,955,SH182004,-12.7,125.5,80,963,40,40,40,40,10,10,10,10,3
2004-03-19 09:00:00,-12.8,125.3,80,952,SH182004,-12.7,125.3,85,959,40,40,40,40,13,13,13,13,3
2004-03-19 12:00:00,-12.8,125.2,90,949,SH182004,-12.8,125.2,90,954,40,40,40,40,15,15,15,15,3
2004-03-19 15:00:00,-12.9,125.0,90,946,SH182004,-12.9,125.1,90,954,40,40,40,40,15,15,15,15,2
2004-03-19 18:00:00,-12.9,125.0,90,945,SH182004,-13.0,125.0,90,954,40,40,40,40,15,15,15,15,2
2004-03-19 21:00:00,-13.0,124.9, , ,SH182004,-13.1,124.9,90,954,40,40,40,40,15,15,15,15,2
2004-03-20 00:00:00,-13.0,124.7,90,940,SH182004,-13.1,124.7,90,954,40,40,40,40,15,15,15,15,3
2004-03-20 03:00:00,-13.1,124.6, , ,SH182004,-13.1,124.5,90,954,40,40,40,40,15,15,15,15,3
2004-03-20 06:00:00,-13.1,124.4,90,940,SH182004,-13.1,124.3,90,954,40,40,40,40,15,15,15,15,3
2004-03-20 09:00:00,-13.2,124.3, , ,SH182004,-13.2,124.2,90,954,40,40,40,40,15,15,15,15,4
2004-03-20 12:00:00,-13.4,124.1,90,935,SH182004,-13.4,124.0,90,954,40,40,40,40,15,15,15,15,5
2004-03-20 15:00:00,-13.5,123.9, , ,SH182004,-13.5,123.8,95,949,40,40,40,40,15,15,15,15,5
2004-03-20 18:00:00,-13.6,123.6,90,935,SH182004,-13.5,123.6,100,944,40,40,40,40,15,15,15,15,5
2004-03-20 21:00:00,-13.5,123.3, , ,SH182004,-13.5,123.4,100,944,40,40,40,40,15,15,15,15,5
2004-03-21 00:00:00,-13.5,123.1,95,930,SH182004,-13.6,123.1,100,944,40,40,40,40,15,15,15,15,4
2004-03-21 03:00:00,-13.6,122.9,100,920,SH182004,-13.7,122.9,108,936,40,40,40,40,15,15,15,15,4
2004-03-21 06:00:00,-13.7,122.7,115,915,SH182004,-13.8,122.6,115,927,40,40,40,40,15,15,15,15,5
2004-03-21 09:00:00,-13.8,122.4, , ,SH182004,-13.9,122.3,118,925,40,40,40,40,15,15,15,15,6
2004-03-21 12:00:00,-13.9,122.2,115,910,SH182004,-13.9,122.1,120,922,40,40,40,40,15,15,15,15,6
2004-03-21 15:00:00,-14.0,121.9, , ,SH182004,-14.0,121.8,120,922,40,40,40,40,15,15,15,15,5
2004-03-21 18:00:00,-14.0,121.7,115,915,SH182004,-14.0,121.6,120,922,40,40,40,40,15,15,15,15,5
2004-03-21 21:00:00,-13.9,121.4, , ,SH182004,-13.9,121.4,118,925,40,40,40,40,15,15,15,15,5
2004-03-22 00:00:00,-13.9,121.2,100,920,SH182004,-13.8,121.2,115,927,40,40,40,40,15,15,15,15,4
2004-03-22 03:00:00,-13.8,121.0, , ,SH182004,-13.7,121.0,115,927,40,40,40,40,15,15,15,15,3
2004-03-22 06:00:00,-13.8,120.9,90,930,SH182004,-13.7,120.8,115,927,40,40,40,40,15,15,15,15,3
2004-03-22 09:00:00,-13.9,120.8, , ,SH182004,-13.8,120.6,115,927,40,40,40,40,15,15,15,15,3
2004-03-22 12:00:00,-14.1,120.7,100,920,SH182004,-13.9,120.5,115,927,40,40,40,40,15,15,15,15,3
2004-03-22 15:00:00,-14.2,120.6, , ,SH182004,-14.0,120.4,115,927,40,40,40,40,15,15,15,15,3
2004-03-22 18:00:00,-14.3,120.5,100,920,SH182004,-14.1,120.4,115,927,40,40,40,40,15,15,15,15,2
2004-03-22 21:00:00,-14.3,120.4,90,930,SH182004,-14.2,120.4,113,930,55,55,50,50,20,20,20,20,0
2004-03-23 00:00:00,-14.3,120.5,90,935,SH182004,-14.3,120.5,110,933,70,70,60,60,25,25,25,25,2
2004-03-23 03:00:00,-14.3,120.6,80,945,SH182004,-14.4,120.6,105,939,70,70,60,60,25,25,25,25,3
2004-03-23 06:00:00,-14.4,120.8,75,950,SH182004,-14.4,120.8,100,944,70,70,60,60,25,25,25,25,3
2004-03-23 09:00:00,-14.4,120.9, , ,SH182004,-14.5,121.0,95,949,70,63,58,65,25,23,23,25,4
2004-03-23 12:00:00,-14.5,121.2,65,960,SH182004,-14.6,121.1,90,954,70,55,55,70,25,20,20,25,5
2004-03-23 15:00:00,-14.8,121.3, , ,SH182004,-14.8,121.2,90,954,70,55,55,70,25,20,20,25,7
2004-03-23 18:00:00,-15.1,121.4,60,970,SH182004,-15.0,121.3,90,954,70,55,55,70,25,20,20,25,6
2004-03-23 21:00:00,-15.3,121.4, , ,SH182004,-15.2,121.3,85,959,60,53,65,73,25,23,25,28,4
2004-03-24 00:00:00,-15.4,121.5,60,970,SH182004,-15.4,121.3,80,963,50,50,75,75,25,25,30,30,4
2004-03-24 03:00:00,-15.6,121.6, , ,SH182004,-15.5,121.5,78,965,68,50,63,80,25,23,25,28,4
2004-03-24 06:00:00,-15.8,121.7,70,960,SH182004,-15.7,121.7,75,967,85,50,50,85,25,20,20,25,4
2004-03-24 09:00:00,-16.0,121.7, , ,SH182004,-15.9,121.7,75,967,85,50,50,85,25,20,20,25,5
2004-03-24 12:00:00,-16.3,121.7,75,955,SH182004,-16.2,121.7,75,967,85,50,50,85,25,20,20,25,4
