# Title: Global Ocean November Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
Year,Anomaly
1900,0
1901,-0.16
1902,-0.13
1903,-0.41
1904,-0.32
1905,-0.18
1906,-0.23
1907,-0.32
1908,-0.41
1909,-0.48
1910,-0.43
1911,-0.21
1912,-0.34
1913,-0.24
1914,-0.06
1915,-0.16
1916,-0.39
1917,-0.31
1918,0.01
1919,-0.26
1920,-0.14
1921,-0.1
1922,-0.18
1923,-0.12
1924,-0.39
1925,-0.05
1926,-0.14
1927,-0.09
1928,-0.23
1929,-0.17
1930,0.05
1931,-0.18
1932,-0.2
1933,-0.27
1934,-0.1
1935,-0.08
1936,-0.09
1937,0
1938,-0.15
1939,0.06
1940,0.22
1941,0.44
1942,0.03
1943,0.16
1944,0.15
1945,0.19
1946,-0.09
1947,-0.12
1948,-0.16
1949,-0.14
1950,-0.19
1951,0.03
1952,0.05
1953,-0.01
1954,-0.14
1955,-0.13
1956,-0.06
1957,0.07
1958,0.05
1959,0
1960,0.04
1961,0.02
1962,0.02
1963,0.1
1964,-0.19
1965,0
1966,0.03
1967,-0.06
1968,0.13
1969,0.13
1970,0.06
1971,-0.1
1972,0.22
1973,0.04
1974,0.01
1975,-0.13
1976,0.17
1977,0.14
1978,0.16
1979,0.31
1980,0.23
1981,0.24
1982,0.31
1983,0.24
1984,0.18
1985,0.17
1986,0.25
1987,0.46
1988,0.18
1989,0.28
1990,0.38
1991,0.28
1992,0.14
1993,0.22
1994,0.38
1995,0.33
1996,0.29
1997,0.57
1998,0.42
1999,0.24
2000,0.33
2001,0.46
2002,0.44
2003,0.5
2004,0.5
2005,0.43
2006,0.52
2007,0.28
2008,0.4
2009,0.56
2010,0.39
2011,0.38
2012,0.51
2013,0.52
2014,0.59
2015,0.82
2016,0.61
2017,0.62
