# Title: Global Land and Ocean November Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
Year,Anomaly
1900,-0.03
1901,-0.18
1902,-0.27
1903,-0.38
1904,-0.21
1905,-0.17
1906,-0.24
1907,-0.39
1908,-0.44
1909,-0.29
1910,-0.35
1911,-0.17
1912,-0.29
1913,-0.24
1914,0
1915,-0.1
1916,-0.54
1917,-0.36
1918,-0.14
1919,-0.28
1920,-0.23
1921,-0.08
1922,-0.04
1923,-0.03
1924,-0.23
1925,-0.04
1926,-0.08
1927,-0.03
1928,-0.1
1929,-0.17
1930,0.19
1931,-0.04
1932,-0.25
1933,-0.28
1934,0.06
1935,-0.17
1936,-0.02
1937,0.12
1938,0.06
1939,0.1
1940,0.19
1941,0.27
1942,0.11
1943,0.21
1944,0.21
1945,0.12
1946,0.01
1947,-0.01
1948,-0.08
1949,-0.1
1950,-0.29
1951,0
1952,-0.07
1953,-0.01
1954,0.04
1955,-0.23
1956,-0.13
1957,0.06
1958,0.01
1959,-0.04
1960,-0.11
1961,0.04
1962,0.11
1963,0.12
1964,-0.24
1965,0
1966,-0.02
1967,-0.05
1968,-0.09
1969,0.14
1970,0.02
1971,-0.1
1972,0.03
1973,0.04
1974,-0.1
1975,-0.19
1976,-0.05
1977,0.19
1978,0.18
1979,0.28
1980,0.26
1981,0.29
1982,0.17
1983,0.35
1984,0.08
1985,0.11
1986,0.14
1987,0.26
1988,0.15
1989,0.17
1990,0.41
1991,0.3
1992,0.05
1993,0.08
1994,0.43
1995,0.46
1996,0.4
1997,0.62
1998,0.44
1999,0.36
2000,0.3
2001,0.69
2002,0.57
2003,0.56
2004,0.7
2005,0.77
2006,0.68
2007,0.57
2008,0.7
2009,0.76
2010,0.78
2011,0.55
2012,0.75
2013,0.79
2014,0.67
2015,1.05
2016,0.93
2017,0.89
