Year,Month,mean_temp_hadisst_gc,region_gc,mean_temp_hadisst_mdr,region_mdr
1870,1,24.576735,Gulf + Caribbean,24.077383,Atlantic MDR
1870,2,24.021276,Gulf + Caribbean,23.448612,Atlantic MDR
1870,3,24.253006,Gulf + Caribbean,23.42002,Atlantic MDR
1870,4,25.142134,Gulf + Caribbean,23.71541,Atlantic MDR
1870,5,26.280537,Gulf + Caribbean,24.353498,Atlantic MDR
1870,6,27.406754,Gulf + Caribbean,25.173365,Atlantic MDR
1870,7,28.224775,Gulf + Caribbean,25.81692,Atlantic MDR
1870,8,28.630392,Gulf + Caribbean,26.61475,Atlantic MDR
1870,9,28.72083,Gulf + Caribbean,27.070583,Atlantic MDR
1870,10,28.17805,Gulf + Caribbean,27.2419,Atlantic MDR
1870,11,27.094141,Gulf + Caribbean,26.6231,Atlantic MDR
1870,12,25.800167,Gulf + Caribbean,25.294975,Atlantic MDR
1871,1,24.52255,Gulf + Caribbean,24.084486,Atlantic MDR
1871,2,24.112787,Gulf + Caribbean,23.30283,Atlantic MDR
1871,3,24.371513,Gulf + Caribbean,23.574787,Atlantic MDR
1871,4,25.270615,Gulf + Caribbean,24.078205,Atlantic MDR
1871,5,26.586645,Gulf + Caribbean,24.70072,Atlantic MDR
1871,6,27.832876,Gulf + Caribbean,25.396824,Atlantic MDR
1871,7,28.41844,Gulf + Caribbean,25.933783,Atlantic MDR
1871,8,28.54449,Gulf + Caribbean,26.416075,Atlantic MDR
1871,9,28.433613,Gulf + Caribbean,26.657372,Atlantic MDR
1871,10,28.095503,Gulf + Caribbean,26.581722,Atlantic MDR
1871,11,27.31291,Gulf + Caribbean,26.18284,Atlantic MDR
1871,12,26.01781,Gulf + Caribbean,24.918926,Atlantic MDR
1872,1,24.92144,Gulf + Caribbean,23.742666,Atlantic MDR
1872,2,24.356445,Gulf + Caribbean,22.998686,Atlantic MDR
1872,3,24.493502,Gulf + Caribbean,23.279646,Atlantic MDR
1872,4,25.44793,Gulf + Caribbean,23.592855,Atlantic MDR
1872,5,26.420366,Gulf + Caribbean,24.265562,Atlantic MDR
1872,6,27.599628,Gulf + Caribbean,25.066313,Atlantic MDR
1872,7,28.242796,Gulf + Caribbean,25.645737,Atlantic MDR
1872,8,28.89224,Gulf + Caribbean,26.560385,Atlantic MDR
1872,9,28.756193,Gulf + Caribbean,26.926823,Atlantic MDR
1872,10,27.80648,Gulf + Caribbean,26.524918,Atlantic MDR
1872,11,26.711386,Gulf + Caribbean,25.78994,Atlantic MDR
1872,12,25.636848,Gulf + Caribbean,24.524164,Atlantic MDR
1873,1,24.83738,Gulf + Caribbean,23.641945,Atlantic MDR
1873,2,24.313046,Gulf + Caribbean,23.136036,Atlantic MDR
1873,3,24.3991,Gulf + Caribbean,23.112154,Atlantic MDR
1873,4,25.29314,Gulf + Caribbean,23.688726,Atlantic MDR
1873,5,26.285511,Gulf + Caribbean,24.11302,Atlantic MDR
1873,6,27.399708,Gulf + Caribbean,24.91277,Atlantic MDR
1873,7,28.208805,Gulf + Caribbean,25.653547,Atlantic MDR
1873,8,28.747265,Gulf + Caribbean,26.425488,Atlantic MDR
1873,9,28.585823,Gulf + Caribbean,26.902029,Atlantic MDR
1873,10,27.831518,Gulf + Caribbean,26.75621,Atlantic MDR
1873,11,26.575893,Gulf + Caribbean,26.159319,Atlantic MDR
1873,12,25.45004,Gulf + Caribbean,24.94791,Atlantic MDR
1874,1,24.758812,Gulf + Caribbean,23.92084,Atlantic MDR
1874,2,24.214842,Gulf + Caribbean,23.239182,Atlantic MDR
1874,3,24.542118,Gulf + Caribbean,23.364605,Atlantic MDR
1874,4,25.164425,Gulf + Caribbean,23.807325,Atlantic MDR
1874,5,26.493652,Gulf + Caribbean,24.616047,Atlantic MDR
1874,6,27.62891,Gulf + Caribbean,25.338497,Atlantic MDR
1874,7,28.358244,Gulf + Caribbean,25.827219,Atlantic MDR
1874,8,28.598919,Gulf + Caribbean,26.38376,Atlantic MDR
1874,9,28.494818,Gulf + Caribbean,26.633661,Atlantic MDR
1874,10,27.77775,Gulf + Caribbean,26.465263,Atlantic MDR
1874,11,26.50735,Gulf + Caribbean,25.742744,Atlantic MDR
1874,12,25.331285,Gulf + Caribbean,24.677364,Atlantic MDR
