Year,Month,mean_temp_icoads_gc,region_gc,mean_temp_icoads_mdr,region_mdr
1800,1,nan,Gulf + Caribbean,nan,Atlantic MDR
1800,2,nan,Gulf + Caribbean,nan,Atlantic MDR
1800,3,nan,Gulf + Caribbean,nan,Atlantic MDR
1800,4,nan,Gulf + Caribbean,nan,Atlantic MDR
1800,5,nan,Gulf + Caribbean,nan,Atlantic MDR
1800,6,nan,Gulf + Caribbean,nan,Atlantic MDR
1800,7,nan,Gulf + Caribbean,nan,Atlantic MDR
1800,8,nan,Gulf + Caribbean,nan,Atlantic MDR
1800,9,nan,Gulf + Caribbean,nan,Atlantic MDR
1800,10,nan,Gulf + Caribbean,nan,Atlantic MDR
1800,11,nan,Gulf + Caribbean,nan,Atlantic MDR
1800,12,nan,Gulf + Caribbean,nan,Atlantic MDR
1801,1,nan,Gulf + Caribbean,nan,Atlantic MDR
1801,2,nan,Gulf + Caribbean,nan,Atlantic MDR
1801,3,nan,Gulf + Caribbean,nan,Atlantic MDR
1801,4,nan,Gulf + Caribbean,nan,Atlantic MDR
1801,5,nan,Gulf + Caribbean,nan,Atlantic MDR
1801,6,nan,Gulf + Caribbean,nan,Atlantic MDR
1801,7,nan,Gulf + Caribbean,nan,Atlantic MDR
1801,8,nan,Gulf + Caribbean,25.508743,Atlantic MDR
1801,9,nan,Gulf + Caribbean,nan,Atlantic MDR
1801,10,nan,Gulf + Caribbean,nan,Atlantic MDR
1801,11,nan,Gulf + Caribbean,nan,Atlantic MDR
1801,12,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,1,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,2,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,3,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,4,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,5,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,6,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,7,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,8,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,9,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,10,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,11,nan,Gulf + Caribbean,nan,Atlantic MDR
1802,12,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,1,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,2,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,3,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,4,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,5,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,6,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,7,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,8,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,9,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,10,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,11,nan,Gulf + Caribbean,nan,Atlantic MDR
1803,12,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,1,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,2,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,3,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,4,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,5,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,6,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,7,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,8,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,9,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,10,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,11,nan,Gulf + Caribbean,nan,Atlantic MDR
1804,12,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,1,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,2,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,3,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,4,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,5,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,6,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,7,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,8,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,9,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,10,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,11,nan,Gulf + Caribbean,nan,Atlantic MDR
1805,12,nan,Gulf + Caribbean,nan,Atlantic MDR
1806,1,nan,Gulf + Caribbean,nan,Atlantic MDR
1806,2,nan,Gulf + Caribbean,nan,Atlantic MDR
1806,3,nan,Gulf + Caribbean,nan,Atlantic MDR
1806,4,nan,Gulf + Caribbean,nan,Atlantic MDR
1806,5,nan,Gulf + Caribbean,nan,Atlantic MDR
1806,6,nan,Gulf + Caribbean,nan,Atlantic MDR
1806,7,nan,Gulf + Caribbean,nan,Atlantic MDR
1806,8,nan,Gulf + Caribbean,nan,Atlantic MDR
1806,9,nan,Gulf + Caribbean,nan,Atlantic MDR
1806,10,nan,Gulf + Caribbean,nan,Atlantic MDR
